,county Name,County Code,Date,AQI,Defining Parameter
45873,Alachua,1,2020-03-26,56,PM2.5
45874,Alachua,1,2020-03-27,50,PM2.5
45875,Alachua,1,2020-03-28,49,PM2.5
45877,Alachua,1,2020-03-30,39,PM2.5
45878,Alachua,1,2020-03-31,39,PM2.5
45883,Alachua,1,2020-04-05,67,PM2.5
45886,Alachua,1,2020-04-08,34,PM2.5
45887,Alachua,1,2020-04-09,52,PM2.5
45890,Alachua,1,2020-04-12,51,PM2.5
45891,Alachua,1,2020-04-13,71,PM2.5
45892,Alachua,1,2020-04-14,59,PM2.5
45893,Alachua,1,2020-04-15,48,PM2.5
45894,Alachua,1,2020-04-16,31,PM2.5
45896,Alachua,1,2020-04-18,31,PM2.5
45897,Alachua,1,2020-04-19,38,PM2.5
45903,Alachua,1,2020-04-25,37,PM2.5
45904,Alachua,1,2020-04-26,37,PM2.5
45936,Alachua,1,2020-05-28,36,PM2.5
45938,Alachua,1,2020-05-30,30,PM2.5
45945,Alachua,1,2020-06-06,20,PM2.5
45946,Alachua,1,2020-06-07,22,PM2.5
45947,Alachua,1,2020-06-08,33,PM2.5
45948,Alachua,1,2020-06-09,38,PM2.5
45950,Alachua,1,2020-06-11,30,PM2.5
45962,Alachua,1,2020-06-23,22,PM2.5
45963,Alachua,1,2020-06-24,29,PM2.5
45964,Alachua,1,2020-06-25,53,PM2.5
45965,Alachua,1,2020-06-26,105,PM2.5
45966,Alachua,1,2020-06-27,60,PM2.5
45967,Alachua,1,2020-06-28,53,PM2.5
45968,Alachua,1,2020-06-29,33,PM2.5
45969,Alachua,1,2020-06-30,40,PM2.5
45970,Alachua,1,2020-07-01,33,PM2.5
45971,Alachua,1,2020-07-02,50,PM2.5
45972,Alachua,1,2020-07-03,43,PM2.5
46237,Baker,3,2020-03-26,44,PM2.5
46238,Baker,3,2020-03-27,48,PM2.5
46239,Baker,3,2020-03-28,50,PM2.5
46240,Baker,3,2020-03-29,39,PM2.5
46241,Baker,3,2020-03-30,43,PM2.5
46246,Baker,3,2020-04-04,64,PM2.5
46247,Baker,3,2020-04-05,56,PM2.5
46250,Baker,3,2020-04-08,40,PM2.5
46251,Baker,3,2020-04-09,56,PM2.5
46254,Baker,3,2020-04-12,56,PM2.5
46255,Baker,3,2020-04-13,67,PM2.5
46256,Baker,3,2020-04-14,52,PM2.5
46257,Baker,3,2020-04-15,34,PM2.5
46260,Baker,3,2020-04-18,30,PM2.5
46261,Baker,3,2020-04-19,35,PM2.5
46267,Baker,3,2020-04-25,45,PM2.5
46304,Baker,3,2020-06-02,43,PM2.5
46307,Baker,3,2020-06-05,30,PM2.5
46308,Baker,3,2020-06-06,28,PM2.5
46309,Baker,3,2020-06-07,23,PM2.5
46310,Baker,3,2020-06-08,44,PM2.5
46311,Baker,3,2020-06-09,34,PM2.5
46312,Baker,3,2020-06-10,37,PM2.5
46313,Baker,3,2020-06-11,40,PM2.5
46319,Baker,3,2020-06-17,34,PM2.5
46324,Baker,3,2020-06-22,29,PM2.5
46326,Baker,3,2020-06-24,37,PM2.5
46327,Baker,3,2020-06-25,78,PM2.5
46328,Baker,3,2020-06-26,140,PM2.5
46329,Baker,3,2020-06-27,116,PM2.5
46330,Baker,3,2020-06-28,60,PM2.5
46331,Baker,3,2020-06-29,40,PM2.5
46332,Baker,3,2020-06-30,42,PM2.5
46333,Baker,3,2020-07-01,38,PM2.5
46334,Baker,3,2020-07-02,55,PM2.5
46335,Baker,3,2020-07-03,40,PM2.5
46599,Bay,5,2020-03-26,49,PM2.5
46600,Bay,5,2020-03-27,40,PM2.5
46601,Bay,5,2020-03-28,44,PM2.5
46602,Bay,5,2020-03-29,52,PM2.5
46604,Bay,5,2020-03-31,52,PM2.5
46608,Bay,5,2020-04-04,57,PM2.5
46609,Bay,5,2020-04-05,54,PM2.5
46612,Bay,5,2020-04-08,40,PM2.5
46613,Bay,5,2020-04-09,59,PM2.5
46616,Bay,5,2020-04-12,68,PM2.5
46617,Bay,5,2020-04-13,71,PM2.5
46618,Bay,5,2020-04-14,44,PM2.5
46619,Bay,5,2020-04-15,51,PM2.5
46623,Bay,5,2020-04-19,49,PM2.5
46627,Bay,5,2020-04-23,50,PM2.5
46629,Bay,5,2020-04-25,47,PM2.5
46650,Bay,5,2020-05-16,35,PM2.5
46653,Bay,5,2020-05-19,28,PM2.5
46656,Bay,5,2020-05-22,59,PM2.5
46657,Bay,5,2020-05-23,54,PM2.5
46658,Bay,5,2020-05-24,34,PM2.5
46660,Bay,5,2020-05-26,28,PM2.5
46661,Bay,5,2020-05-27,25,PM2.5
46663,Bay,5,2020-05-29,38,PM2.5
46666,Bay,5,2020-06-01,49,PM2.5
46671,Bay,5,2020-06-06,20,PM2.5
46672,Bay,5,2020-06-07,45,PM2.5
46673,Bay,5,2020-06-08,62,PM2.5
46674,Bay,5,2020-06-09,48,PM2.5
46675,Bay,5,2020-06-10,41,PM2.5
46681,Bay,5,2020-06-16,43,PM2.5
46689,Bay,5,2020-06-24,50,PM2.5
46690,Bay,5,2020-06-25,48,PM2.5
46691,Bay,5,2020-06-26,79,PM2.5
46692,Bay,5,2020-06-27,146,PM2.5
46693,Bay,5,2020-06-28,76,PM2.5
46694,Bay,5,2020-06-29,54,PM2.5
46695,Bay,5,2020-06-30,49,PM2.5
46696,Bay,5,2020-07-01,53,PM2.5
46697,Bay,5,2020-07-02,56,PM2.5
46698,Bay,5,2020-07-03,59,PM2.5
46965,Brevard,9,2020-03-26,53,PM2.5
46966,Brevard,9,2020-03-27,49,PM2.5
46967,Brevard,9,2020-03-28,49,PM2.5
46970,Brevard,9,2020-03-31,41,PM2.5
46975,Brevard,9,2020-04-05,54,PM2.5
46979,Brevard,9,2020-04-09,52,PM2.5
46980,Brevard,9,2020-04-10,54,PM2.5
46982,Brevard,9,2020-04-12,55,PM2.5
46983,Brevard,9,2020-04-13,69,PM2.5
46984,Brevard,9,2020-04-14,62,PM2.5
46985,Brevard,9,2020-04-15,61,PM2.5
46990,Brevard,9,2020-04-20,44,PM2.5
46996,Brevard,9,2020-04-26,56,PM2.5
47006,Brevard,9,2020-05-06,45,PM2.5
47021,Brevard,9,2020-05-21,43,PM2.5
47023,Brevard,9,2020-05-23,28,PM2.5
47024,Brevard,9,2020-05-24,30,PM2.5
47027,Brevard,9,2020-05-27,38,PM2.5
47028,Brevard,9,2020-05-28,39,PM2.5
47030,Brevard,9,2020-05-30,36,PM2.5
47037,Brevard,9,2020-06-06,42,PM2.5
47038,Brevard,9,2020-06-07,46,PM2.5
47039,Brevard,9,2020-06-08,43,PM2.5
47040,Brevard,9,2020-06-09,34,PM2.5
47041,Brevard,9,2020-06-10,27,PM2.5
47056,Brevard,9,2020-06-25,43,PM2.5
47061,Brevard,9,2020-06-30,56,PM2.5
47062,Brevard,9,2020-07-01,44,PM2.5
47063,Brevard,9,2020-07-02,38,PM2.5
47064,Brevard,9,2020-07-03,48,PM2.5
47331,Broward,11,2020-03-26,53,PM2.5
47332,Broward,11,2020-03-27,53,PM2.5
47334,Broward,11,2020-03-29,32,PM2.5
47336,Broward,11,2020-03-31,31,PM2.5
47345,Broward,11,2020-04-09,41,PM2.5
47346,Broward,11,2020-04-10,59,PM2.5
47348,Broward,11,2020-04-12,59,PM2.5
47349,Broward,11,2020-04-13,66,PM2.5
47350,Broward,11,2020-04-14,55,PM2.5
47351,Broward,11,2020-04-15,63,PM2.5
47352,Broward,11,2020-04-16,58,PM2.5
47353,Broward,11,2020-04-17,50,PM2.5
47354,Broward,11,2020-04-18,43,PM2.5
47355,Broward,11,2020-04-19,37,PM2.5
47356,Broward,11,2020-04-20,40,PM2.5
47362,Broward,11,2020-04-26,44,PM2.5
47376,Broward,11,2020-05-10,55,PM2.5
47381,Broward,11,2020-05-15,37,PM2.5
47384,Broward,11,2020-05-18,45,PM2.5
47385,Broward,11,2020-05-19,43,PM2.5
47386,Broward,11,2020-05-20,52,PM2.5
47387,Broward,11,2020-05-21,53,PM2.5
47389,Broward,11,2020-05-23,29,PM2.5
47390,Broward,11,2020-05-24,30,PM2.5
47391,Broward,11,2020-05-25,38,PM2.5
47392,Broward,11,2020-05-26,39,PM2.5
47393,Broward,11,2020-05-27,51,PM2.5
47394,Broward,11,2020-05-28,40,PM2.5
47395,Broward,11,2020-05-29,30,PM2.5
47396,Broward,11,2020-05-30,40,PM2.5
47400,Broward,11,2020-06-03,36,PM2.5
47401,Broward,11,2020-06-04,36,PM2.5
47402,Broward,11,2020-06-05,44,PM2.5
47403,Broward,11,2020-06-06,47,PM2.5
47404,Broward,11,2020-06-07,52,PM2.5
47405,Broward,11,2020-06-08,44,PM2.5
47406,Broward,11,2020-06-09,33,PM2.5
47407,Broward,11,2020-06-10,43,PM2.5
47409,Broward,11,2020-06-12,41,PM2.5
47410,Broward,11,2020-06-13,59,PM2.5
47416,Broward,11,2020-06-19,30,PM2.5
47417,Broward,11,2020-06-20,30,PM2.5
47419,Broward,11,2020-06-22,28,PM2.5
47420,Broward,11,2020-06-23,42,PM2.5
47421,Broward,11,2020-06-24,51,PM2.5
47422,Broward,11,2020-06-25,52,PM2.5
47423,Broward,11,2020-06-26,30,PM2.5
47424,Broward,11,2020-06-27,35,PM2.5
47425,Broward,11,2020-06-28,40,PM2.5
47426,Broward,11,2020-06-29,54,PM2.5
47427,Broward,11,2020-06-30,56,PM2.5
47428,Broward,11,2020-07-01,55,PM2.5
47429,Broward,11,2020-07-02,53,PM2.5
47430,Broward,11,2020-07-03,45,PM2.5
47697,Citrus,17,2020-03-26,54,PM2.5
47699,Citrus,17,2020-03-28,54,PM2.5
47703,Citrus,17,2020-04-01,18,PM2.5
47704,Citrus,17,2020-04-02,35,PM2.5
47705,Citrus,17,2020-04-03,50,PM2.5
47706,Citrus,17,2020-04-04,64,PM2.5
47707,Citrus,17,2020-04-05,58,PM2.5
47708,Citrus,17,2020-04-06,45,PM2.5
47709,Citrus,17,2020-04-07,32,PM2.5
47710,Citrus,17,2020-04-08,31,PM2.5
47711,Citrus,17,2020-04-09,53,PM2.5
47712,Citrus,17,2020-04-10,44,PM2.5
47713,Citrus,17,2020-04-11,38,PM2.5
47714,Citrus,17,2020-04-12,65,PM2.5
47715,Citrus,17,2020-04-13,83,PM2.5
47716,Citrus,17,2020-04-14,72,PM2.5
47717,Citrus,17,2020-04-15,55,PM2.5
47718,Citrus,17,2020-04-16,33,PM2.5
47719,Citrus,17,2020-04-17,43,PM2.5
47720,Citrus,17,2020-04-18,35,PM2.5
47721,Citrus,17,2020-04-19,41,PM2.5
47722,Citrus,17,2020-04-20,48,PM2.5
47723,Citrus,17,2020-04-21,35,PM2.5
47724,Citrus,17,2020-04-22,37,PM2.5
47725,Citrus,17,2020-04-23,54,PM2.5
47726,Citrus,17,2020-04-24,42,PM2.5
47727,Citrus,17,2020-04-25,47,PM2.5
47728,Citrus,17,2020-04-26,42,PM2.5
47729,Citrus,17,2020-04-27,26,PM2.5
47730,Citrus,17,2020-04-28,35,PM2.5
47731,Citrus,17,2020-04-29,36,PM2.5
47732,Citrus,17,2020-05-01,31,PM2.5
47733,Citrus,17,2020-05-02,50,PM2.5
47734,Citrus,17,2020-05-03,48,PM2.5
47735,Citrus,17,2020-05-04,43,PM2.5
47736,Citrus,17,2020-05-05,33,PM2.5
47737,Citrus,17,2020-05-06,57,PM2.5
47738,Citrus,17,2020-05-07,25,PM2.5
47739,Citrus,17,2020-05-08,33,PM2.5
47740,Citrus,17,2020-05-09,26,PM2.5
47741,Citrus,17,2020-05-10,25,PM2.5
47742,Citrus,17,2020-05-11,31,PM2.5
47743,Citrus,17,2020-05-12,34,PM2.5
47744,Citrus,17,2020-05-13,34,PM2.5
47745,Citrus,17,2020-05-14,28,PM2.5
47746,Citrus,17,2020-05-15,31,PM2.5
47747,Citrus,17,2020-05-16,27,PM2.5
47748,Citrus,17,2020-05-17,27,PM2.5
47749,Citrus,17,2020-05-18,23,PM2.5
47750,Citrus,17,2020-05-21,33,PM2.5
47751,Citrus,17,2020-05-22,38,PM2.5
47752,Citrus,17,2020-05-23,35,PM2.5
47753,Citrus,17,2020-05-24,30,PM2.5
47754,Citrus,17,2020-05-25,23,PM2.5
47755,Citrus,17,2020-05-26,28,PM2.5
47756,Citrus,17,2020-05-27,23,PM2.5
47757,Citrus,17,2020-05-28,47,PM2.5
47758,Citrus,17,2020-05-29,36,PM2.5
47759,Citrus,17,2020-05-30,39,PM2.5
47760,Citrus,17,2020-05-31,39,PM2.5
47761,Citrus,17,2020-06-01,39,PM2.5
47762,Citrus,17,2020-06-02,28,PM2.5
47763,Citrus,17,2020-06-03,38,PM2.5
47764,Citrus,17,2020-06-04,52,PM2.5
47765,Citrus,17,2020-06-05,30,PM2.5
47766,Citrus,17,2020-06-06,19,PM2.5
47767,Citrus,17,2020-06-07,34,PM2.5
47768,Citrus,17,2020-06-08,46,PM2.5
47769,Citrus,17,2020-06-09,38,PM2.5
47770,Citrus,17,2020-06-10,37,PM2.5
47771,Citrus,17,2020-06-11,32,PM2.5
47772,Citrus,17,2020-06-12,25,PM2.5
47773,Citrus,17,2020-06-13,25,PM2.5
47774,Citrus,17,2020-06-14,24,PM2.5
47775,Citrus,17,2020-06-15,26,PM2.5
47776,Citrus,17,2020-06-16,33,PM2.5
47777,Citrus,17,2020-06-17,32,PM2.5
47778,Citrus,17,2020-06-18,38,PM2.5
47779,Citrus,17,2020-06-19,27,PM2.5
47780,Citrus,17,2020-06-20,30,PM2.5
47781,Citrus,17,2020-06-21,32,PM2.5
47782,Citrus,17,2020-06-22,28,PM2.5
47783,Citrus,17,2020-06-23,25,PM2.5
47784,Citrus,17,2020-06-24,38,PM2.5
47785,Citrus,17,2020-06-25,35,PM2.5
47786,Citrus,17,2020-06-26,71,PM2.5
47787,Citrus,17,2020-06-27,68,PM2.5
47788,Citrus,17,2020-06-28,67,PM2.5
47789,Citrus,17,2020-06-29,45,PM2.5
47790,Citrus,17,2020-06-30,52,PM2.5
47791,Citrus,17,2020-07-01,40,PM2.5
47792,Citrus,17,2020-07-02,53,PM2.5
47793,Citrus,17,2020-07-03,54,PM2.5
48057,Collier,21,2020-03-26,51,PM2.5
48058,Collier,21,2020-03-27,51,PM2.5
48060,Collier,21,2020-03-29,30,PM2.5
48062,Collier,21,2020-03-31,36,PM2.5
48071,Collier,21,2020-04-10,63,PM2.5
48072,Collier,21,2020-04-11,54,PM2.5
48073,Collier,21,2020-04-12,67,PM2.5
48074,Collier,21,2020-04-13,71,PM2.5
48075,Collier,21,2020-04-14,69,PM2.5
48076,Collier,21,2020-04-15,66,PM2.5
48077,Collier,21,2020-04-16,45,PM2.5
48078,Collier,21,2020-04-17,38,PM2.5
48079,Collier,21,2020-04-18,45,PM2.5
48080,Collier,21,2020-04-19,44,PM2.5
48081,Collier,21,2020-04-20,49,PM2.5
48086,Collier,21,2020-04-25,51,PM2.5
48087,Collier,21,2020-04-26,52,PM2.5
48101,Collier,21,2020-05-10,45,PM2.5
48108,Collier,21,2020-05-17,32,PM2.5
48109,Collier,21,2020-05-18,56,PM2.5
48110,Collier,21,2020-05-19,39,PM2.5
48111,Collier,21,2020-05-20,40,PM2.5
48112,Collier,21,2020-05-21,55,PM2.5
48113,Collier,21,2020-05-22,37,PM2.5
48117,Collier,21,2020-05-26,34,PM2.5
48118,Collier,21,2020-05-27,60,PM2.5
48119,Collier,21,2020-05-28,52,PM2.5
48120,Collier,21,2020-05-29,28,PM2.5
48121,Collier,21,2020-05-30,29,PM2.5
48122,Collier,21,2020-05-31,36,PM2.5
48123,Collier,21,2020-06-01,34,PM2.5
48125,Collier,21,2020-06-03,25,PM2.5
48126,Collier,21,2020-06-04,27,PM2.5
48127,Collier,21,2020-06-05,27,PM2.5
48128,Collier,21,2020-06-06,38,PM2.5
48129,Collier,21,2020-06-07,38,PM2.5
48130,Collier,21,2020-06-08,46,PM2.5
48131,Collier,21,2020-06-09,41,PM2.5
48132,Collier,21,2020-06-10,33,PM2.5
48133,Collier,21,2020-06-11,32,PM2.5
48135,Collier,21,2020-06-13,41,PM2.5
48138,Collier,21,2020-06-16,30,PM2.5
48141,Collier,21,2020-06-19,22,PM2.5
48142,Collier,21,2020-06-20,25,PM2.5
48143,Collier,21,2020-06-21,24,PM2.5
48144,Collier,21,2020-06-22,22,PM2.5
48145,Collier,21,2020-06-23,32,PM2.5
48146,Collier,21,2020-06-24,41,PM2.5
48147,Collier,21,2020-06-25,54,PM2.5
48148,Collier,21,2020-06-26,37,PM2.5
48149,Collier,21,2020-06-27,36,PM2.5
48150,Collier,21,2020-06-28,60,PM2.5
48151,Collier,21,2020-06-29,58,PM2.5
48152,Collier,21,2020-06-30,62,PM2.5
48153,Collier,21,2020-07-01,64,PM2.5
48154,Collier,21,2020-07-02,62,PM2.5
48155,Collier,21,2020-07-03,58,PM2.5
48426,Columbia,23,2020-05-22,49,PM2.5
48428,Columbia,23,2020-05-24,32,PM2.5
48429,Columbia,23,2020-05-25,29,PM2.5
48430,Columbia,23,2020-05-26,24,PM2.5
48431,Columbia,23,2020-05-27,32,PM2.5
48432,Columbia,23,2020-05-28,37,PM2.5
48433,Columbia,23,2020-05-29,41,PM2.5
48434,Columbia,23,2020-05-30,43,PM2.5
48435,Columbia,23,2020-05-31,43,PM2.5
48436,Columbia,23,2020-06-01,45,PM2.5
48438,Columbia,23,2020-06-03,37,PM2.5
48440,Columbia,23,2020-06-05,27,PM2.5
48441,Columbia,23,2020-06-06,24,PM2.5
48443,Columbia,23,2020-06-08,52,PM2.5
48445,Columbia,23,2020-06-10,53,PM2.5
48456,Columbia,23,2020-06-21,43,PM2.5
48457,Columbia,23,2020-06-22,35,PM2.5
48458,Columbia,23,2020-06-23,30,PM2.5
48459,Columbia,23,2020-06-24,48,PM2.5
48460,Columbia,23,2020-06-25,102,PM2.5
48461,Columbia,23,2020-06-26,158,PM2.5
48462,Columbia,23,2020-06-27,155,PM2.5
48463,Columbia,23,2020-06-28,74,PM2.5
48464,Columbia,23,2020-06-29,52,PM2.5
48465,Columbia,23,2020-06-30,53,PM2.5
48466,Columbia,23,2020-07-01,48,PM2.5
48467,Columbia,23,2020-07-02,63,PM2.5
48468,Columbia,23,2020-07-03,50,PM2.5
48732,Duval,31,2020-03-26,45,PM2.5
48733,Duval,31,2020-03-27,55,PM2.5
48734,Duval,31,2020-03-28,59,PM2.5
48735,Duval,31,2020-03-29,58,PM2.5
48736,Duval,31,2020-03-30,60,PM2.5
48737,Duval,31,2020-03-31,43,PM2.5
48742,Duval,31,2020-04-05,57,PM2.5
48745,Duval,31,2020-04-08,48,PM2.5
48746,Duval,31,2020-04-09,59,PM2.5
48747,Duval,31,2020-04-10,48,PM2.5
48749,Duval,31,2020-04-12,57,PM2.5
48750,Duval,31,2020-04-13,61,PM2.5
48751,Duval,31,2020-04-14,59,PM2.5
48752,Duval,31,2020-04-15,53,PM2.5
48754,Duval,31,2020-04-17,45,PM2.5
48755,Duval,31,2020-04-18,40,PM2.5
48756,Duval,31,2020-04-19,40,PM2.5
48757,Duval,31,2020-04-20,45,PM2.5
48758,Duval,31,2020-04-21,52,PM2.5
48759,Duval,31,2020-04-22,50,PM2.5
48762,Duval,31,2020-04-25,52,PM2.5
48782,Duval,31,2020-05-15,39,PM2.5
48783,Duval,31,2020-05-16,35,PM2.5
48784,Duval,31,2020-05-17,29,PM2.5
48790,Duval,31,2020-05-23,41,PM2.5
48792,Duval,31,2020-05-25,28,PM2.5
48795,Duval,31,2020-05-28,45,PM2.5
48796,Duval,31,2020-05-29,36,PM2.5
48797,Duval,31,2020-05-30,48,PM2.5
48798,Duval,31,2020-05-31,48,PM2.5
48803,Duval,31,2020-06-05,28,PM2.5
48804,Duval,31,2020-06-06,35,PM2.5
48806,Duval,31,2020-06-08,35,PM2.5
48808,Duval,31,2020-06-10,41,PM2.5
48809,Duval,31,2020-06-11,40,PM2.5
48811,Duval,31,2020-06-13,35,PM2.5
48815,Duval,31,2020-06-17,47,PM2.5
48819,Duval,31,2020-06-21,49,PM2.5
48821,Duval,31,2020-06-23,30,PM2.5
48822,Duval,31,2020-06-24,41,PM2.5
48823,Duval,31,2020-06-25,75,PM2.5
48824,Duval,31,2020-06-26,125,PM2.5
48825,Duval,31,2020-06-27,119,PM2.5
48826,Duval,31,2020-06-28,80,PM2.5
48827,Duval,31,2020-06-29,51,PM2.5
48828,Duval,31,2020-06-30,54,PM2.5
48829,Duval,31,2020-07-01,47,PM2.5
48830,Duval,31,2020-07-02,55,PM2.5
48831,Duval,31,2020-07-03,62,PM2.5
49098,Escambia,33,2020-03-26,60,PM2.5
49099,Escambia,33,2020-03-27,51,PM2.5
49100,Escambia,33,2020-03-28,59,PM2.5
49101,Escambia,33,2020-03-29,69,PM2.5
49102,Escambia,33,2020-03-30,51,PM2.5
49103,Escambia,33,2020-03-31,43,PM2.5
49106,Escambia,33,2020-04-03,57,PM2.5
49107,Escambia,33,2020-04-04,74,PM2.5
49108,Escambia,33,2020-04-05,54,PM2.5
49109,Escambia,33,2020-04-06,54,PM2.5
49111,Escambia,33,2020-04-08,50,PM2.5
49112,Escambia,33,2020-04-09,67,PM2.5
49115,Escambia,33,2020-04-12,68,PM2.5
49120,Escambia,33,2020-04-17,53,PM2.5
49121,Escambia,33,2020-04-18,53,PM2.5
49122,Escambia,33,2020-04-19,53,PM2.5
49126,Escambia,33,2020-04-23,46,PM2.5
49148,Escambia,33,2020-05-15,43,PM2.5
49149,Escambia,33,2020-05-16,39,PM2.5
49155,Escambia,33,2020-05-22,54,PM2.5
49156,Escambia,33,2020-05-23,54,PM2.5
49165,Escambia,33,2020-06-01,54,PM2.5
49166,Escambia,33,2020-06-02,44,PM2.5
49171,Escambia,33,2020-06-07,33,PM2.5
49172,Escambia,33,2020-06-08,47,PM2.5
49173,Escambia,33,2020-06-09,52,PM2.5
49174,Escambia,33,2020-06-10,33,PM2.5
49178,Escambia,33,2020-06-14,45,PM2.5
49180,Escambia,33,2020-06-16,56,PM2.5
49182,Escambia,33,2020-06-18,50,PM2.5
49188,Escambia,33,2020-06-24,44,PM2.5
49189,Escambia,33,2020-06-25,63,PM2.5
49190,Escambia,33,2020-06-26,59,PM2.5
49191,Escambia,33,2020-06-27,74,PM2.5
49192,Escambia,33,2020-06-28,50,PM2.5
49193,Escambia,33,2020-06-29,45,PM2.5
